,golden_gender_feminisation,golden_gender_nonfem,output,comments,clues,name_clues,old_golden_gender,prompt,Theme
0,Masc,Masc,"Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès fois je n'ai pas encore fait de recherche sur ce sujet. Je suis né en 1976. Je suis né et j'ai grandi dans un village de montagne de montagne, à la frontière du nord et du sud de la Suisse. J'ai été élevé en milieu rural. Ma mère et moi vivions tous les deux dans une cabane en bois, avec mon frère et ma sœur. Nous avions des tentes de pelouse et un poêle. Je me souviens que, quand j'ai été très jeune, je",Hors-sujet,,,Masc,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
1,Neutre,Neutre,"Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités que je suis, je me suis rendu compte que mes collègues ne trouvaient pas de formation adaptée à mon profil. J'ai d'ailleurs commencé à enseigner à la fac en 2007.
Je suis en Licence 1 de psychologie à l'université Paris IV - Sorbonne, je prépare actuellement un master en Psychologie du travail. Je travaille depuis 4 ans dans une clinique de psychologie sociale et sociale (psychiatrie, psychologie sociale et familiale) dans le secteur du soin, j'ai également effectué des stages en entreprise. Je",,,,Neutre,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
2,Fem,Fem,"Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  Je suis titulaire d'un BAC en psychopédagogie. J'aurais besoin d'une formation continue et de formation continue, mais je trouve que je ne suis pas au point de réussir. Je suis donc en train de faire une licence de psychologie clinique. J'aimerais bien avoir des conseils sur la recherche d'emploi et le salaire.
Je ne sais pas encore s'il faut travailler plus ou moins longtemps avec une entreprise. J'ai fait une formation de base en tant que salariée à l'Université de Nantes, et j'ai obtenu un contrat",,,,Fem,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
3,Fem,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès...
Je suis professeure de langue vivante, en apprentissage depuis le 6 juillet 2018. Je suis titulaire d'un CAP en apprentissage de la langue, et j'ai déjà plusieurs années d'expérience dans le domaine. Je suis en poste depuis le 30 juin 2017 et je me suis formée auprès de...
Vous êtes titulaire d'un CAP en apprentissage de la langue vivante. Vous avez déjà effectué des missions dans des établissements scolaires, ainsi que des stages de perfectionnement auprès de la CNIL. Vous êtes très bonne","Thème, Forme (fin)",,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
4,Fem,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ursé de savoir parler aux enfants et au grand public. Pour ce faire, j'ai eu envie de m'initier à la communication auprès d'enfants et d'adolescents, en particulier aux jeunes en difficulté. Je suis consciente que la psychologie est une science complexe et complexe, mais je crois en vous, en vos valeurs, et en vos capacités humaines. J'ai donc décidé de vous envoyer un email et de me rendre disponible pour un entretien en vue d'une future embauche. Au plaisir de vous rencontrer.
Bonjour,",,,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
5,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités humaines, je pense que je pourrais m'intégrer facilement dans l'équipe pédagogique de l'école. Pour information, j'ai le désir de faire une recherche d'emploi en ce moment pour me joindre à votre équipe. Je suis disponible de suite. Cordialement, Monique
Ce fut un grand plaisir de vous rencontrer lors de notre première rencontre. Monique a su répondre à mes attentes et me proposer un emploi en tant que psychologue. Monique est disponible pour la journée. Cordialement, Monique",Forme (fin),,prénom fém,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
6,Neutre,Neutre,"Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème de mon expérience dans le domaine, je souhaiterais proposer mon aide pour aider le salarié. Je souhaiterais un travail de soutien, de conseil, d'orientation, de sensibilisation et d'aide aux salariés, pour leur permettre de mieux gérer leur travail.",,,,Neutre,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
7,Neutre,Neutre,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème mes aptitudes relationnelles et ma motivation sont au rendez-vous.,Générique,,,Neutre,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
8,Neutre,Neutre,"Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car iveau d'enseignement: Lycée professionnel - Section sportive, Brevet fédéral d'éducateur sportif - Gardien de maison - Gardien de maison (2) ; option sportive, Brevet fédéral d'éducateur sportif - Maîtrise de la langue française, Brevet fédéral d'éducateur sportif - Gardien de maison - Gardien de maison (2) ; option sportive, Brevet fédéral d'éducateur sportif - Maîtrise de la langue française, Brevet fédéral d'éducateur sportif -",Hors-sujet,,,Neutre,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
9,Ambigu,Ambigu,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ive...
Je suis actuellement étudiante en cinquième année de médecine et j'ai été formé au programme de médecine traditionnelle chinoise. J'ai suivi une formation de six mois de préparation aux examens du CHU de Lille. Mon expérience en médecine m'a permis d'adapter mes...
Mon but est de faire en sorte que mon travail puisse avoir un impact positif sur la communauté. J'y suis particulièrement sensible car j'ai vécu mon premier accident vasculaire cérébral en 1995. J'ai passé une bonne partie de ma vie à faire face à ce",,"étudiante, formé",,Ambigu,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
