"","fap","annee","part","libelle","part_h"
"1","T2B","2017-2019",97.5979320745717,"Assistantes maternelles",2.4020679254283
"2","L0Z","2017-2019",96.1123679928551,"Secrétaires",3.8876320071449
"3","L3Z","2017-2019",95.5870032193961,"Secrétaires de direction",4.4129967806039
"4","T2A","2017-2019",95.2039900787112,"Aides à domicile et aides ménagères",4.7960099212888
"5","T1Z","2017-2019",94.8973913110112,"Employés de maison",5.10260868898879
"6","V0Z","2017-2019",90.8026689096773,"Aides-soignants",9.19733109032271
"7","T0Z","2017-2019",86.4601051533186,"Coiffeurs, esthéticiens",13.5398948466814
"8","V1Z","2017-2019",85.380144793903,"Infirmiers, sages-femmes",14.619855206097
"9","L1Z","2017-2019",81.9874646250599,"Employés de la comptabilité",18.0125353749401
"10","L2Z","2017-2019",78.2459702949974,"Employés administratifs d'entreprise",21.7540297050026
"11","Q0Z","2017-2019",77.2592048542121,"Employés de la banque et des assurances",22.7407951457879
"12","P0Z","2017-2019",75.9550073547011,"Employés administratifs de la fonction publique (catégorie C et assimilés)",24.0449926452989
"13","V4Z","2017-2019",74.6875881665699,"Professionnels de l'action sociale et de l'orientation",25.3124118334301
"14","R0Z","2017-2019",74.1392680670544,"Caissiers, employés de libre service",25.8607319329456
"15","L4Z","2017-2019",73.7208193095668,"Techniciens des services administratifs, comptables et financiers",26.2791806904332
"16","V3Z","2017-2019",72.7567732072751,"Professions para-médicales",27.2432267927249
"17","F1Z","2017-2019",72.1322334321331,"Ouvriers qualifiés du textile et du cuir",27.8677665678669
"18","T4Z","2017-2019",71.2263441985431,"Agents d'entretien",28.7736558014569
"19","R1Z","2017-2019",70.6246930934954,"Vendeurs",29.3753069065046
"20","P1Z","2017-2019",69.6381369792394,"Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)",30.3618630207606
"21","Q1Z","2017-2019",68.1365833111829,"Techniciens de la banque et des assurances",31.8634166888171
"22","W0Z","2017-2019",66.6784085804928,"Enseignants",33.3215914195072
"23","F0Z","2017-2019",63.7633509532509,"Ouvriers non qualifiés du textile et du cuir",36.2366490467491
"24","U0Z","2017-2019",63.7514964403567,"Professionnels de la communication et de l'information",36.2485035596433
"25","V5Z","2017-2019",62.0760490907709,"Professionnels de l'action culturelle, sportive et surveillants",37.9239509092291
"26","S2Z","2017-2019",61.6289189445265,"Employés et agents de maîtrise de l'hôtellerie et de la restauration",38.3710810554735
"27","J5Z","2017-2019",59.2362457635006,"Agents administratifs et commerciaux des transports et du tourisme",40.7637542364994
"28","P3Z","2017-2019",55.0532430913135,"Professionnels du droit (hors juristes en entreprise)",44.9467569086865
"29","V2Z","2017-2019",53.6873975143271,"Médecins et assimilés",46.3126024856729
"30","L5Z","2017-2019",52.4775985162814,"Cadres des services administratifs, comptables et financiers",47.5224014837186
"31","W1Z","2017-2019",51.2254136929088,"Formateurs",48.7745863070912
"32","P2Z","2017-2019",51.1976524546103,"Cadres de la fonction publique (catégorie A et assimilés)",48.8023475453897
"33","R3Z","2017-2019",48.8015766503311,"Maîtrise des magasins et intermédiaires du commerce",51.1984233496689
"34","Q2Z","2017-2019",48.3764437774732,"Cadres de la banque et des assurances",51.6235562225268
"35","ZZZ","2017-2019",47.1394540060264,"Non renseigné ou autre",52.8605459939736
"36","K0Z","2017-2019",46.3276487287386,"Artisans et ouvriers artisanaux",53.6723512712614
"37","E0Z","2017-2019",43.1461478650462,"Ouvriers non qualifiés des industries de process",56.8538521349538
"38","U1Z","2017-2019",41.9900260674141,"Professionnels des arts et des spectacles",58.0099739325859
"39","R2Z","2017-2019",41.7363667037636,"Attachés commerciaux et représentants",58.2636332962364
"40","C0Z","2017-2019",40.3013462052519,"Ouvriers non qualifiés de l'électricité et de l'électronique",59.6986537947481
"41","T6Z","2017-2019",39.6510413469948,"Employés des services divers",60.3489586530052
"42","M0Z","2017-2019",39.5059690540975,"Employés et opérateurs de l'informatique",60.4940309459025
"43","S3Z","2017-2019",37.2407649999394,"Patrons et cadres d'hôtels, cafés, restaurants",62.7592350000606
"44","S1Z","2017-2019",34.7723700335284,"Cuisiniers",65.2276299664716
"45","R4Z","2017-2019",32.4120627233505,"Cadres commerciaux et technico-commerciaux",67.5879372766495
"46","E1Z","2017-2019",31.9392362684347,"Ouvriers qualifiés des industries de process",68.0607637315653
